Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,,,,,,,,Col5,Bin,Frequency,Col8
104,RMT8,1,33,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,38,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,43,FS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,44,MS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,32,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,38,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,38,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,32,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,29,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,MS1,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,37,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,33,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,29,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,39,MS1,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,29,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,35,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,33,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,35,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,32,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,32,J,1,,JR291_Event105_Net1_Board1_Dorsal.jpg,JR291_Event105_Net1_Board1_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,31,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,37,FS1,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,45,MS1,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,32,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,41,FS1,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,30,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,26,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,37,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,38,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
